2025-06-30 15:58:04 - NovelTranslator - INFO     - [MainThread] - Система логирования успешно настроена.
2025-06-30 15:58:23 - NovelTranslator.KBManager - INFO     - [Thread-4 (_initialize_thread)] - KnowledgeBaseManager инициализирован. Коллекция: 'Nerd_kb'. Записей: 550
2025-06-30 15:58:23 - NovelTranslator.Core - DEBUG    - [Thread-4 (_initialize_thread)] - Инициализация моделей Gemini: gemini-2.5-pro, models/text-embedding-004
2025-06-30 15:58:24 - NovelTranslator.Core - INFO     - [Thread-4 (_initialize_thread)] - Модели Gemini (gemini-2.5-pro, models/text-embedding-004) успешно инициализированы.
2025-06-30 15:58:24 - NovelTranslator.Core - INFO     - [SpaCyLoader] - Попытка загрузки NLP-модели: en_core_web_lg...
2025-06-30 15:58:24 - NovelTranslator.Core - INFO     - [Thread-4 (_initialize_thread)] - Переводчик инициализирован для проекта 'Nerd'. Загружено 345 терминов, 205 записей в Библии. Индекс: 550 векторов.
2025-06-30 15:58:33 - NovelTranslator.Core - INFO     - [SpaCyLoader] - NLP-модель 'en_core_web_lg' успешно загружена.
2025-06-30 15:58:53 - NovelTranslator.Core - DEBUG    - [Thread-7 (_initialize_thread)] - Инициализация NovelTranslator...
2025-06-30 15:58:53 - NovelTranslator.DBManager - INFO     - [Thread-7 (_initialize_thread)] - DatabaseManager инициализирован для проекта 'Nerd' (ID: 3)
2025-06-30 15:58:53 - NovelTranslator.KBManager - INFO     - [Thread-7 (_initialize_thread)] - KnowledgeBaseManager инициализирован. Коллекция: 'Nerd_kb'. Записей: 550
2025-06-30 15:58:53 - NovelTranslator.Core - DEBUG    - [Thread-7 (_initialize_thread)] - Инициализация моделей Gemini: gemini-2.5-flash, models/text-embedding-004
2025-06-30 15:58:54 - NovelTranslator.Core - INFO     - [Thread-7 (_initialize_thread)] - Модели Gemini (gemini-2.5-flash, models/text-embedding-004) успешно инициализированы.
2025-06-30 15:58:54 - NovelTranslator.Core - INFO     - [SpaCyLoader] - Попытка загрузки NLP-модели: en_core_web_lg...
2025-06-30 15:58:54 - NovelTranslator.Core - INFO     - [Thread-7 (_initialize_thread)] - Переводчик инициализирован для проекта 'Nerd'. Загружено 345 терминов, 205 записей в Библии. Индекс: 550 векторов.
2025-06-30 15:58:55 - NovelTranslator.Core - INFO     - [SpaCyLoader] - NLP-модель 'en_core_web_lg' успешно загружена.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Начало ПОСЛЕДОВАТЕЛЬНОЙ обработки из 'C:/Users/User/Desktop/kod/Cultivation Nerd_Eng'
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 230 Why Do I Hear Boss Music.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 231 Do It Like Dark Souls!.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 232 The Compromise.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 233 The Home.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 234 That Girl is So Dangerous~.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 235 Youthful Granny Thoughts.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 236 A Monotonous Life.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 237 There is Honey in the Moon.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 238 A Harsh Truth!.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 239 A Tedious Life Story.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 240 Bad News is Not That Bad.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 241 A Blazing Prediction.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 242 The Next Journey.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 243 Book Title.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 244 Cheap.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 245 British Premium.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 246 A Casual Dinner.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 247 Blazing Sun Sect’s Betrayal.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 248 Absolute Control.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 249 The Intoxication of Absolute Control.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 250 Eye of The Tiger!.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 251 A Warrior’s Arm.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 252 A Warrior's End.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 253 A Cryptic Stage.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 254 The Dark Serpent.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 255 Art of The Deal.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 256 Obscene Preparation.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 257 Hearthfire Ice-Stem Flower.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 258 The Last Bad Choice.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 259 A Cat’s Lives.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 260 A Heavenly Treasure.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 261 Breakthrough To The Next Stage.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 266 Elder By Fire.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 267 Indulgence.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 268 Playing Catch With An Immortal.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 269 The New Immortal.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Глава 'Chapter 270 The Old Meets The New.txt' уже существует. Пропущено.
2025-06-30 15:59:03 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Начало перевода главы: 'Chapter 262 The First Technique.txt'
2025-06-30 16:02:27 - NovelTranslator.Core - INFO     - [DictUpdater] - Начало умного обновления словаря...
2025-06-30 16:02:27 - NovelTranslator.Core - INFO     - [BibleAnalyzer] - Начало анализа текста для Библии Вселенной...
2025-06-30 16:02:27 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Перевод главы 'Chapter 262 The First Technique.txt' завершен за 203.86 сек.
2025-06-30 16:02:27 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Начало перевода главы: 'Chapter 263 Arrival at Civilization.txt'
2025-06-30 16:06:59 - NovelTranslator.Core - INFO     - [DictUpdater] - Начало умного обновления словаря...
2025-06-30 16:06:59 - NovelTranslator.Core - INFO     - [BibleAnalyzer] - Начало анализа текста для Библии Вселенной...
2025-06-30 16:06:59 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Перевод главы 'Chapter 263 Arrival at Civilization.txt' завершен за 272.19 сек.
2025-06-30 16:06:59 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Начало перевода главы: 'Chapter 264 Burials & Tears.txt'
2025-06-30 16:12:00 - NovelTranslator.Core - INFO     - [DictUpdater] - Начало умного обновления словаря...
2025-06-30 16:12:00 - NovelTranslator.Core - INFO     - [BibleAnalyzer] - Начало анализа текста для Библии Вселенной...
2025-06-30 16:12:00 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Перевод главы 'Chapter 264 Burials & Tears.txt' завершен за 301.06 сек.
2025-06-30 16:12:00 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Начало перевода главы: 'Chapter 265 Vacant Thrones.txt'
2025-06-30 16:17:35 - NovelTranslator.Core - INFO     - [DictUpdater] - Начало умного обновления словаря...
2025-06-30 16:17:35 - NovelTranslator.Core - INFO     - [BibleAnalyzer] - Начало анализа текста для Библии Вселенной...
2025-06-30 16:17:35 - NovelTranslator.Core - INFO     - [Thread-9 (_translation_thread)] - Перевод главы 'Chapter 265 Vacant Thrones.txt' завершен за 334.34 сек.
